,subset,element_number,FXY,ElementName,Value,Units
31,3,31,013012,Depth of fresh snow (depth of snowfall),,m
32,3,32,204000,Operator,,
33,3,33,004023,Time period or displacement,0.0,d
34,3,34,004004,Hour,18.0,h
35,3,35,004005,Minute,0.0,min
36,3,36,004006,Second,0.0,s
37,3,37,204008,Operator,,
38,3,38,031021,Associated field significance,5,Code table
39,3,39,,Associated field,6,
40,3,40,013013,Total snow depth (snow depth),,m
41,3,41,204000,Operator,,
42,3,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,3,43,004023,Time period or displacement,0.0,d
44,3,44,004004,Hour,18.0,h
45,3,45,004005,Minute,0.0,min
46,3,46,004006,Second,1.0,s
47,3,47,008023,First-order statistics,2.0,Code table
48,3,48,204008,Operator,,
49,3,49,031021,Associated field significance,5.0,Code table
50,3,50,,Associated field,0.0,
51,3,51,012101,Temperature/air temperature,302.65000000000003,K
52,3,52,204000,Operator,,
53,3,53,004023,Time period or displacement,0.0,d
54,3,54,004004,Hour,6.0,h
55,3,55,004005,Minute,0.0,min
56,3,56,004006,Second,1.0,s
57,3,57,008023,First-order statistics,3.0,Code table
58,3,58,204008,Operator,,
59,3,59,031021,Associated field significance,5.0,Code table
60,3,60,,Associated field,0.0,
61,3,61,012101,Temperature/air temperature,297.85,K
62,3,62,204000,Operator,,
63,3,63,004023,Time period or displacement,0.0,d
64,3,64,004004,Hour,10.0,h
65,3,65,004005,Minute,0.0,min
66,3,66,004006,Second,1.0,s
67,3,67,008023,First-order statistics,4.0,Code table
68,3,68,204008,Operator,,
69,3,69,031021,Associated field significance,5.0,Code table
70,3,70,,Associated field,0.0,
71,3,71,012101,Temperature/air temperature,299.75,K
72,3,72,204000,Operator,,
73,3,73,008023,First-order statistics,,Code table
0,4,0,001125,WIGOS identifier series,0.0,Numeric
1,4,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,4,2,001127,WIGOS issue number,0.0,Numeric
3,4,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,4,4,001001,WMO block number,91.0,Numeric
5,4,5,001002,WMO station number,592.0,Numeric
6,4,6,005001,Latitude (high accuracy),-16.44517,deg
7,4,7,006001,Longitude (high accuracy),-151.752,deg
8,4,8,007030,Height of station ground above mean sea level,3.0,m
9,4,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,4,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,4,11,008094,Method used to calculate the average daily temperature,2,Code table
12,4,12,004001,Year,2021.0,a
13,4,13,004002,Month,10.0,mon
14,4,14,004003,Day,5.0,d
15,4,15,004023,Time period or displacement,0.0,d
16,4,16,004004,Hour,18.0,h
17,4,17,004005,Minute,0.0,min
18,4,18,004006,Second,1.0,s
19,4,19,204008,Operator,,
20,4,20,031021,Associated field significance,5,Code table
21,4,21,,Associated field,0,
22,4,22,013060,Total accumulated precipitation,0.0,kg m-2
23,4,23,204000,Operator,,
24,4,24,004023,Time period or displacement,0.0,d
25,4,25,004004,Hour,18.0,h
26,4,26,004005,Minute,0.0,min
27,4,27,004006,Second,1.0,s
28,4,28,204008,Operator,,
29,4,29,031021,Associated field significance,5,Code table
30,4,30,,Associated field,6,
31,4,31,013012,Depth of fresh snow (depth of snowfall),,m
32,4,32,204000,Operator,,
33,4,33,004023,Time period or displacement,0.0,d
34,4,34,004004,Hour,18.0,h
35,4,35,004005,Minute,0.0,min
36,4,36,004006,Second,0.0,s
37,4,37,204008,Operator,,
38,4,38,031021,Associated field significance,5,Code table
39,4,39,,Associated field,6,
40,4,40,013013,Total snow depth (snow depth),,m
41,4,41,204000,Operator,,
42,4,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,4,43,004023,Time period or displacement,0.0,d
44,4,44,004004,Hour,18.0,h
45,4,45,004005,Minute,0.0,min
46,4,46,004006,Second,1.0,s
47,4,47,008023,First-order statistics,2.0,Code table
48,4,48,204008,Operator,,
49,4,49,031021,Associated field significance,5.0,Code table
50,4,50,,Associated field,0.0,
51,4,51,012101,Temperature/air temperature,302.55,K
52,4,52,204000,Operator,,
53,4,53,004023,Time period or displacement,0.0,d
54,4,54,004004,Hour,6.0,h
55,4,55,004005,Minute,0.0,min
56,4,56,004006,Second,1.0,s
57,4,57,008023,First-order statistics,3.0,Code table
58,4,58,204008,Operator,,
59,4,59,031021,Associated field significance,5.0,Code table
60,4,60,,Associated field,0.0,
61,4,61,012101,Temperature/air temperature,296.75,K
62,4,62,204000,Operator,,
63,4,63,004023,Time period or displacement,0.0,d
64,4,64,004004,Hour,10.0,h
65,4,65,004005,Minute,0.0,min
66,4,66,004006,Second,1.0,s
67,4,67,008023,First-order statistics,4.0,Code table
68,4,68,204008,Operator,,
69,4,69,031021,Associated field significance,5.0,Code table
70,4,70,,Associated field,0.0,
71,4,71,012101,Temperature/air temperature,299.65000000000003,K
72,4,72,204000,Operator,,
73,4,73,008023,First-order statistics,,Code table
0,5,0,001125,WIGOS identifier series,0.0,Numeric
1,5,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,5,2,001127,WIGOS issue number,0.0,Numeric
3,5,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,5,4,001001,WMO block number,91.0,Numeric
5,5,5,001002,WMO station number,592.0,Numeric
6,5,6,005001,Latitude (high accuracy),-16.44517,deg
7,5,7,006001,Longitude (high accuracy),-151.752,deg
8,5,8,007030,Height of station ground above mean sea level,3.0,m
9,5,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,5,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,5,11,008094,Method used to calculate the average daily temperature,2,Code table
12,5,12,004001,Year,2021.0,a
13,5,13,004002,Month,10.0,mon
14,5,14,004003,Day,6.0,d
15,5,15,004023,Time period or displacement,0.0,d
16,5,16,004004,Hour,18.0,h
17,5,17,004005,Minute,0.0,min
18,5,18,004006,Second,1.0,s
19,5,19,204008,Operator,,
20,5,20,031021,Associated field significance,5,Code table
21,5,21,,Associated field,0,
22,5,22,013060,Total accumulated precipitation,0.0,kg m-2
23,5,23,204000,Operator,,
24,5,24,004023,Time period or displacement,0.0,d
25,5,25,004004,Hour,18.0,h
26,5,26,004005,Minute,0.0,min
27,5,27,004006,Second,1.0,s
28,5,28,204008,Operator,,
29,5,29,031021,Associated field significance,5,Code table
30,5,30,,Associated field,6,
31,5,31,013012,Depth of fresh snow (depth of snowfall),,m
32,5,32,204000,Operator,,
33,5,33,004023,Time period or displacement,0.0,d
34,5,34,004004,Hour,18.0,h
35,5,35,004005,Minute,0.0,min
36,5,36,004006,Second,0.0,s
37,5,37,204008,Operator,,
38,5,38,031021,Associated field significance,5,Code table
39,5,39,,Associated field,6,
40,5,40,013013,Total snow depth (snow depth),,m
41,5,41,204000,Operator,,
42,5,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,5,43,004023,Time period or displacement,0.0,d
44,5,44,004004,Hour,18.0,h
45,5,45,004005,Minute,0.0,min
46,5,46,004006,Second,1.0,s
47,5,47,008023,First-order statistics,2.0,Code table
48,5,48,204008,Operator,,
49,5,49,031021,Associated field significance,5.0,Code table
50,5,50,,Associated field,0.0,
51,5,51,012101,Temperature/air temperature,302.55,K
52,5,52,204000,Operator,,
53,5,53,004023,Time period or displacement,0.0,d
54,5,54,004004,Hour,6.0,h
55,5,55,004005,Minute,0.0,min
56,5,56,004006,Second,1.0,s
57,5,57,008023,First-order statistics,3.0,Code table
58,5,58,204008,Operator,,
59,5,59,031021,Associated field significance,5.0,Code table
60,5,60,,Associated field,0.0,
61,5,61,012101,Temperature/air temperature,297.25,K
62,5,62,204000,Operator,,
63,5,63,004023,Time period or displacement,0.0,d
64,5,64,004004,Hour,10.0,h
65,5,65,004005,Minute,0.0,min
66,5,66,004006,Second,1.0,s
67,5,67,008023,First-order statistics,4.0,Code table
68,5,68,204008,Operator,,
69,5,69,031021,Associated field significance,5.0,Code table
70,5,70,,Associated field,0.0,
71,5,71,012101,Temperature/air temperature,299.85,K
72,5,72,204000,Operator,,
73,5,73,008023,First-order statistics,,Code table
0,6,0,001125,WIGOS identifier series,0.0,Numeric
1,6,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,6,2,001127,WIGOS issue number,0.0,Numeric
3,6,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,6,4,001001,WMO block number,91.0,Numeric
5,6,5,001002,WMO station number,592.0,Numeric
